Year,CO2,Volcanic,Solar
741,279.137,0.004313183,1365.377526
742,279.142,0.0043122,1365.401498
743,279.146,0.00431187,1365.424325
744,279.154,0.004311759,1365.445683
745,279.161,0.019592578,1365.46525
746,279.172,0.015769382,1365.482731
747,279.178,0.008388377,1365.497954
748,279.193,0.005683864,1365.510774
749,279.203,0.016941541,1365.521048
750,279.207,0.093589905,1365.528632
751,279.213,0.058783694,1365.533383
752,279.214,0.023955409,1365.535157
753,279.227,0.011002681,1365.53381
754,279.231,0.006567567,1365.529199
755,279.234,0.005070384,1365.52118
756,279.247,0.055464328,1365.509686
757,279.258,0.036955455,1365.494953
758,279.268,0.016132048,1365.477295
759,279.273,0.008341543,1365.457025
760,279.278,0.005670732,1365.434457
761,279.288,0.004768808,1365.409903
762,279.294,0.004465322,1365.383677
763,279.296,0.004363315,1365.356093
764,279.301,0.052963876,1365.327463
765,279.303,0.031858459,1365.2981
766,279.306,0.013923335,1365.268329
767,279.311,0.007602381,1365.238519
768,279.313,0.005421909,1365.209049
769,279.32,0.004685116,1365.180299
770,279.322,0.004437193,1365.152648
771,279.324,0.004353864,1365.126476
772,279.328,0.004325867,1365.102162
773,279.327,0.004316461,1365.080087
774,279.326,0.004313301,1365.06063
775,279.324,0.004312239,1365.04417
776,279.327,0.004311883,1365.031005
777,279.333,0.021866743,1365.021105
778,279.345,0.01554125,1365.014357
779,279.349,0.00837871,1365.010648
780,279.347,0.005698294,1365.009866
781,279.343,0.004779323,1365.011898
782,279.341,0.053010272,1365.016632
783,279.342,0.035415329,1365.023956
784,279.338,0.015575125,1365.033756
785,279.341,0.008151722,1365.04592
786,279.337,0.005606721,1365.060282
787,279.335,0.004747279,1365.076456
788,279.328,0.004458087,1365.094005
789,279.326,0.004360884,1365.112489
790,279.316,0.004328224,1365.131471
791,279.316,0.004317253,1365.150511
792,279.311,0.004313567,1365.16917
793,279.308,0.004312329,1365.187011
794,279.295,0.004311913,1365.203593
795,279.294,0.004311773,1365.21848
796,279.294,0.004311726,1365.231331
797,279.288,0.004311711,1365.242208
798,279.282,0.004311706,1365.251269
799,279.277,0.004311704,1365.258676
800,279.28,0.044723502,1365.264588
801,279.274,0.030162222,1365.269166
802,279.272,0.01367399,1365.272568
803,279.273,0.007503645,1365.274957
804,279.273,0.005388168,1365.276491
805,279.276,0.00467377,1365.27733
806,279.281,0.004433383,1365.277629
807,279.283,0.004352584,1365.27752
808,279.285,0.004325436,1365.277127
809,279.293,0.004316316,1365.276577
810,279.295,0.004313253,1365.275994
811,279.298,0.004312223,1365.275504
812,279.302,0.004311878,1365.275234
813,279.303,0.004311761,1365.275307
814,279.305,0.004311722,1365.275851
815,279.307,0.004311709,1365.27699
816,279.311,0.004311705,1365.278823
817,279.313,0.114354328,1365.281341
818,279.315,0.074703491,1365.284509
819,279.32,0.042158297,1365.28829
820,279.319,0.022265651,1365.292649
821,279.324,0.010538462,1365.29755
822,279.325,0.072503117,1365.302958
823,279.326,0.047295235,1365.308836
824,279.326,0.019860474,1365.315148
825,279.323,0.009611638,1365.32186
826,279.323,0.00609897,1365.328943
827,279.321,0.007200388,1365.336401
828,279.322,0.006228944,1365.344247
829,279.323,0.004989856,1365.352493
830,279.326,0.004539917,1365.361152
831,279.326,0.004388233,1365.370235
832,279.326,0.004337385,1365.379755
833,279.324,0.004320326,1365.389724
834,279.329,0.004314599,1365.400155
835,279.324,0.020453833,1365.41106
836,279.325,0.014637167,1365.422416
837,279.323,0.00805127,1365.434059
838,279.327,0.005586657,1365.445791
839,279.329,0.004741674,1365.457412
840,279.334,0.004456323,1365.468724
841,279.334,0.018027269,1365.479528
842,279.334,0.013070481,1365.489626
843,279.339,0.007483443,1365.498818
844,279.349,0.005393037,1365.506906
845,279.349,0.004676375,1365.51369
846,279.352,0.004434359,1365.519027
847,279.349,0.004352924,1365.522993
848,279.349,0.004325552,1365.525717
849,279.352,0.004316355,1365.527331
850,279.355,0.004313266,1365.527965
851,279.353,0.004312228,1365.527748
852,279.355,0.004311879,1365.526812
853,279.352,0.089572925,1365.525286
854,279.352,0.058205137,1365.523302
855,279.35,0.023496706,1365.52099
856,279.348,0.010847119,1365.518464
857,279.346,0.006513256,1365.515774
858,279.349,0.005051789,1365.512954
859,279.348,0.049947296,1365.510039
860,279.347,0.036097328,1365.507063
861,279.351,0.015757321,1365.50406
862,279.345,0.008192402,1365.501064
863,279.347,0.005616988,1365.498109
864,279.348,0.004750251,1365.49523
865,279.347,0.004459021,1365.49246
866,279.336,0.004361189,1365.489794
867,279.326,0.004328326,1365.487066
868,279.317,0.004317287,1365.484068
869,279.314,0.008980187,1365.480593
870,279.312,0.007811382,1365.476437
871,279.308,0.005556886,1365.471391
872,279.306,0.004730817,1365.465248
873,279.303,0.004452223,1365.457804
874,279.285,0.004358854,1365.44885
875,279.276,0.004327534,1365.43818
876,279.269,0.03483205,1365.425648
877,279.259,0.023833268,1365.411347
878,279.252,0.011381784,1365.395432
879,279.238,0.042656838,1365.378056
880,279.227,0.04743348,1365.359374
881,279.224,0.025270202,1365.33954
882,279.216,0.011718337,1365.318707
883,279.204,0.006825959,1365.29703
884,279.191,0.005158724,1365.274663
885,279.185,0.004596503,1365.25176
886,279.17,0.004407404,1365.228501
887,279.158,0.004343854,1365.205174
888,279.147,0.004322503,1365.182092
